Hausa_Text,English_Translation,Intent,Tone,Domain
Ya shigo rayuwata ta dalilai daban-daban,He entered my life for various reasons,Statement,Neutral,Relationship
Dalilai daban-daban suka sanya ya tafi ya bar ta,Different reasons made him leave her,Statement,Neutral,Relationship
Yana sonta da aure amma ya fahimci halayenta ba su da kyau,He loved her for marriage but realized her character was bad,Statement,Serious,Marriage
Halayenta ne suka sanya na kasa jurewa,Her character made me unable to endure,Statement,Serious,Relationship
Dabi’unta sun sanya ba ni sha’awar zaman aure da ita,Her habits removed my desire for marriage with her,Statement,Serious,Marriage
Aurensu ya matso amma ya ce ya fasa,Their wedding was close but he cancelled,Statement,Serious,Marriage
Sha’awa ce ta sanya ya ce yana sonki,Desire made him say he loves you,Statement,Critical,Relationship
Gidan namu ne babu dadi wallahi,Our home is truly unhappy,Statement,Sad,Family
Uwar mijina ke yin birthday,My mother-in-law is celebrating her birthday,Statement,Neutral,Family
Hoto ne na sanya a status fa duk ya bi ya rude,I just posted a photo on status but he is just confused,Narration,Surprised,Social media
Na yi shiru tunda har yanzu case dina bai kare ba,I kept quiet since my case is not yet resolved,Statement,Cautious,Legal
Ina chatting da kanwata na yi mata rubutun da bai dace ba,I was chatting with my sister and sent an inappropriate message,Confession,Embarrassed,Social
A status ina son in sanya azo Amin ciniki sai na sanya azo Amin ciki,I meant to post “come and buy my product” but wrote “come and made me pregnant”,Narration,Humorous,Social media
Zance ina ka shiga tun dazu na ce ina kashi tun dazu,I meant “where did you go” but said “I have been defecating”,Narration,Humorous,Social
Ceman yayi me na ci ya bata min ciki,He asked me what I ate that upset my stomach,Statement,Confused,Health
Haka maza suke cewa ai,That’s how men usually say,Statement,Generalizing,Social
Kar Allah ya sake nuna min irin wannan rana,May God never show me such a day again,Prayer,Solemn,Religion
Ina kika shiga ne tun jiya?,Where have you been since yesterday?,Question,Serious,Social
"Ya ce min albishirinki, na ce golo maimakon goro",He congratulated me and I said “golo” instead of “goro”,Narration,Humorous,Social
Sakon wata customer dita ’yar Maiduguri na bayar,I delivered a message to a customer from Maiduguri,Statement,Neutral,Business
Tun da safe muna ta magana da uncle dina,Since morning I’ve been talking with my uncle,Statement,Neutral,Family
Ce masa na yi gurasa nake son ci,I told him I wanted to eat bread cake,Statement,Casual,Daily life
Mutuwa aka yi na saka emoji din dariya,Someone died and I mistakenly used a laughing emoji,Narration,Regretful,Social media
Zance wa surukata ya kasuwanci na ce mata ya karuwanci,"I want to asked my in-law about business, I asked her how is prostitution",Narration,Neutral,Family
Zagin mijina na yi sai aka kore ni da kyar na dawo,"I insulted my husband, got sent away, and barely returned",Narration,Sad,Marriage
Uwarmu maganin kukanmu,Our mother is the cure for our tears,Statement,Affectionate,Family
Masha Allah uwa ta gari,"Masha Allah, a good mother",Statement,Praise,Family
Kuna kama wallahi na ga kamar danta,"You resemble him; I thought, look like her son",Statement,Surprised,Social
Ai kin san su ba sa laifi,You know they are not at fault,Statement,Defensive,Social
Wata akan gaskiyarta ma za a saketa,A woman may even be divorced for being truthful,Observation,Serious,Marriage
Duk lokacin da nake jini mijina yana saduwa da ni kuma Allah ya hana,"Whenever I menstruate my husband still approaches me, which God forbids",Statement,Concerned,Religion
Abin da kake so ni kuma damuna yake,What you like troubles me,Statement,Serious,Relationship
Kana burgeni kana burgeni,"You impress me, you impress me",Statement,Affectionate,Relationship
Uhmmm amma dai wasu sun yi asara,"Hmm, but some people lost",Statement,Reflective,Social
An burgeni a nan wallahi,"I am impressed here, truly",Statement,Pleased,Social
Ku tayani dariya,Join me in laughing / Laugh with me,Request,Playful,Social interaction
Dankwali da Hijabi suna kara ma budurwa kyau,Hijab and scap make a young woman more beautiful,Observation,Admiring,Culture / Appearance
Allah ya kara kiyaye mana ke mama,"May Allah continue to protect you for us, mother",Prayer,Affectionate,Religion / Family
Ana wulakanta mata a arewacin Nigeria,Women are being humiliated in Northern Nigeria,Statement,Concerned,Social issues
"Sun ce sai abunda na ce mijina zai yi, idan na sha maganin",They said my husband will only do what I say if I take the medicine,Statement,Skeptical,Marriage / Health
Ya yi mana jawabi dalla-dalla,He gave us a detailed speech,Statement,Neutral,Communication / Leadership
"So yake mu yarda da shi, bayan ya san mun san karya yake",He wants us to believe him even though he knows we know he is lying,Accusation,Serious,Social / Ethics
Wasa yake maku da hankali,He is playing with your intelligence,Accusation,Critical,Social interaction
Na daina makauniyar biyayya,I have stopped blind obedience,Declaration,Firm,Personal values
Karya ce tsagoranta,It is an outright lie,Statement,Assertive,Ethics / Truth
Ka siyo abunnan kuwa?,Did you buy those things?,Question,Neutral,Daily life / Shopping
Zuciyarki akwai haske,Your heart is full of light,Compliment,Warm,Emotional / Spiritual
Na yi farin ciki da jin wannan labarin,I am happy to hear this news,Expression of joy,Positive,Social interaction
Ni kuma sai kokarin haddar wakar nake,"As for me, I am trying to memorize the song",Statement,Neutral,Personal activity
"Mutane na musamman, suke samar da abu na musamman",Special people create special things,Reflection,Inspirational,Motivation / Values
Na rubuta wannan da zuciya mai rauni,I wrote this with a fragile heart,Confession,Emotional,Personal expression
Wahalhalun dake gaba na yawa ne dasu,The hardships ahead are many,Statement,Concerned,Life challenges
"Komai daga Allah ne, na yadda da kaddara","Everything is from Allah, I accept destiny",Statement,Faithful,Religion / Belief
"Allah ka san abin da ke cikin zuciyata, ka taimake ni","O Allah, You know what is in my heart, help me",Supplication,Sincere,Religion / Prayer
Sarkin barkwancin kasar Hausa,The king of comedy in Hausa land,Statement,Admiring,Entertainment / Culture
Makasudin shirya taron shine mu fahimci juna,The purpose of organizing the meeting is for us to understand each other,Statement,Formal,Community / Dialogue
Samar da kirkira yana da muhimmanci,Creating Creativity awareness is important,Statement,Inspirational,Education / Innovation
Akwai mutane da yawa da suka iya abubuwa da yawa a arewa,There are many people in the North who are skilled in many things,Statement,Positive,Society / Skills
Al'umma muna maku tallar abunda ke faruwa a yankunanku,"People, we are bringing you reports of what is happening in your areas",Announcement,Informative,Media / Public information
Mawaka manya-manya ne suka zo,Top musicians have arrived,Statement,Excited,Entertainment / Event
Ta bayyana mana yanda taron ya gudana,She explained to us how the gathering went,Statement,Neutral,Communication / Report
Muna wayarma da mutane Kai akan wannan matsalar,We are enlightening people about this problem,Statement,Concerned,Public education
Shin an karfi korafinku kuwa?,Have your complaints been addressed?,Question,Serious,Governance / Feedback
Kusan ince maka kwana biyu kanan fa,I can say to you almost two days now,Statement,Playful,Social interaction
"Muna son mu gayyaceshi yazo, ya kiya","We want to invite him to come, he refused",Invitation,Respectful,Event / Entertainment
Wannan shine karon farko da muka shirya taro irin haka,This is the first time we have organized such an event,Statement,Proud,Event / Community
An waiwayo an juyo ana kallonmu,People turned around and looked at us,Narration,Neutral,Social observation
In dai ana shirya irin wadannan taron za a samu cigaba,"If such events are organized, progress will be achieved",Opinion,Hopeful,Development / Community
Tunaninmu akwai nasara a gaba,We believe there is success ahead,Statement,Optimistic,Motivation
Ka canza sana'a ne?,Have you changed your profession?,Question,Neutral,Work / Career
Wallahi kun cutar da ita kun hana ta zaman aure,I swear you harmed her and denied her marriage life,Accusation,Angry,Social / Family conflict
Abunda kuke koyawa iskancine da karuwanci da rashin tarbiyya,"What you are teaching is immorality, prostitution, and lack of upbringing",Condemnation,Severe,Morality / Society
Wannan wani abu ne da ba a taba yin shi a arewa ba gaba daya,This is something that has never been done in the North at all,Statement,Emphatic,Culture / Tradition
Shine baku gayyaceni ba,So you didn’t invite me?,Question,Surprised,Social interaction
Marassa anfani kawai,Useless people ,Insult,Disparaging,Social conflict
Godiya ta musamman a gareku,Special thanks to you,Gratitude,Appreciative,Social interaction
Ya sunan wakar nan ne?,What is the name of this song?,Question,Curious,Music / Entertainment
Makafin banza mahaukata,Worthless blind madmen,Insult,Offensive,Social conflict
Wannan su kadai suka rage a tafiyar wannan siyasar,These are the only ones left in this political journey,Statement,Critical,Politics
Gashi kana sanya hoton wanda kake kauna,You are even posting the picture of the one you love,Observation,Teasing,Social media / Relationship
Allah ya sanya shirun da na yi ya zama alkhairi,May Allah make my silence turn into good,Supplication,Hopeful,Religion / Reflection
Ya yi mana abin da ba za mu iya cire shi a rai ba,He did something to us that we can never forget,Statement,Emotional,Personal experience
Ina gwanin wani ga nawa?,Where does someone else’s expert compare to mine?,Rhetorical question,Confident,Self-assessment
Ya kamata ka gyara kalamanka,You should have correct your words,Advice,Serious,Communication / Ethics
"Kai dan hassada, kana da irinsa ne?","You are jealous, do you even have anything like it?",Accusation,Confrontational,Social conflict
"Sam-sam ba haka bane, ban yarda da kai ba","That’s not it at all, I don’t believe you",Rejection,Firm,Social interaction
"Baka da adalci, idan ka ce kudin goro za ka yi wa mutanen Kano",You are unfair if you say you will generalize your statement to the people of Kano,Accusation,Critical,Social / Fairness
Baba ne ya ce mu je gidan su hajiyarsu,Father said we should go to their grandmother’s house,Statement,Neutral,Family
Da alamu a cikin wannan kallon akwai wani abu,It seems there is something behind that look,Observation,Suspicious,Social interaction
Ni dai wannan ta girme ni a iya tsara magana gaskiya,"Honestly, this one is beyond me in arranging words and the way she talks",Statement,Humble,Personal reflection
’Yar kurkura da kan ingin daf kenan,She is still young and very experienced,Statement,Dismissive,Social judgment
Don Allah ku kaita Tahfiz ta fara haddar Alqur’ani,Please take her to Tahfiz so she can start memorizing the Qur’an,Request,Sincere,Religion / Education
Wannan ta fi matana iya tsara bayani,She is better than my wives at explaining things,Comparison,Admiring,Family / Communication
"Zuciya ta tayi dim, naji ba dadi","My heart felt heavy, I felt sad",Emotional expression,Sad,Emotion / Personal
Gaskiya wannan gida kuna shan raha da maganganun yarinyar nan,"Honestly, this household is enjoying the young girl’s talk",Observation,Neutral,Social / Family
Amma gaskiya wannan ba ta yau ba ce,"But honestly, she is not a young girl",Statement,Serious,General discussion
Kwata-kwata wannan tsohon bai iya mulki ba,"Completely, this old man don't know how to govern",Criticism,Critical,Politics
Yabon gwani ya zama dole,Praising excellence has become necessary,Statement,Assertive,Social values
"Hakane, amma yanzu ba ma yin shi, ya koma cikin azzalumai","That’s true, but we no longer do it; he has become among the oppressors",Condemnation,Disappointed,Politics / Ethics
Wane irin shiri kake ma kanka don neman ilimi?,What kind of plan are you making for yourself to seek education?,Question,Inquisitive,Education
Suna nuna kwarewa a aikinsu,They show expertise in their work,Observation,Positive,Work / Skill
Kaf Nigeria babu ’yan sanda masu kokari irin na ’yan Kano,"In all of Nigeria, there are no police as hardworking as those from Kano",Assertion,Proud,Security / Society
Ba su mamaki,surprise them,Statement,Casual,General opinion
Mutuniyar kirki,A good-hearted woman,Praise,Warm,Character / Morals
Kin darasu kaya fa,Your dress is better than their own,Praise,Appreciative,Daily life / Appearance
Ya kamata ki gode mai baki,You should thank the one who is giving you,Advice,Respectful,Social etiquette
Na ga kin jure tun dazu,I saw that you’ve been patient since earlier,Observation,Appreciative,Emotion / Endurance
Yau fa gidanki za ki tare,Today you will move into your home,Statement,Joyful,Marriage / Family
Dace da masoyi yana wahala,Getting a sincere love one is difficult,Statement,Sad,Emotion / Relationship
Bikinnan fa yayi mutane,This wedding is very crowded,Observation,Excited,Social / Ceremony
A yau fa kai sarki ne,Today you are a king,Praise,Celebratory,Ceremony / Honor
Ta kware bangaren girki,She is skilled in cooking,Praise,Admiring,Skill / Domestic
Idan tayi shagwaba ka kula da ita,"If she acts affectionately, take care of her",Advice,Caring,Relationship / Marriage
Amaryar nan mutuniyar kirki ce,This bride is a good-hearted person,Praise,Warm,Marriage / Character
"Kina walki wallahi, kinyi kyau","You look radiant, honestly you look beautiful",Praise,Admiring,Appearance
Ki bude kunnenki ki saurareni da kyau,Open your ears and listen to me carefully,Command,Serious,Advice / Communication
Masu kushe fa sun yi sun gama,The critics have already done all they can,Statement,Dismissive,Social reaction
Ke ce lamba ta daya,You are number one,Praise,Affirming,Social affirmation
Yanzu angonki kin same shi,Now you have found your groom,Statement,Joyful,Marriage
Fada na yi don su gane,I spoke strongly so they would understand,Justification,Firm,Social interaction
Mun baka diyarmu ka kula da ita,"We have given you our daughter, take good care of her",Request,Sincere,Marriage / Family
An daura masu aure,Their marriage has been solemnized,Statement,Celebratory,Marriage / Religion
Ka dauke mana yarinyarmu,You have taken our daughter,Statement,Emotional,Marriage / Family
"Ina ta furta sunanki, baki ji ba?","I keep calling your name, didn’t you hear?",Question,Concerned,Communication
Kayanta na daban ne,Her outfit is unique,Statement,Admiring,Appearance / Fashion
Ki bude bakinki,Open your mouth,Command,Direct,Instruction
Kin tare a gidanki yau,You moved into your home today,Statement,Joyful,Marriage / Family
Ke ce ta daya,You are the number one,Praise,Affirming,Social affirmation
Dama fura take,She is kneading the millet dough,Statement,Neutral,Character description
Tana da kwazo sosai,She is very hardworking,Praise,Positive,Work / Character
"Sadakin nata akwai tsada, gaskiya","Her bride price is expensive, truly",Observation,Serious,Marriage / Culture
Amarya ta zo da kasaita,The bride arrived with elegance,Statement,Admiring,Marriage / Ceremony
A cikin amaren bana kin yi ta daban,"Among this year’s brides, you stand out",Praise,Admiring,Marriage / Social
Baban mu na daban ne,Our father is exceptional,Statement,Proud,Family
Mamar mu ta daban ce,Our mother is special,Statement,Proud,Family
Na kirashi na yi masa take,I called him and greeted him respectfully,Statement,Respectful,Social interaction
Inason in gaida maman amarya,I want to greet the bride’s mother,Statement,Polite,Marriage / Family
Kina basu mamaki,You amaze them,Statement,Admiring,Social
"Jinin kice, tsatson ki","It’s in your blood, your lineage",Statement,Proud,Heritage / Identity
Tantabara yar alkawari,"The dove, daughter of promise",Metaphorical praise,Poetic,Praise / Culture
Ruwan dare mai game duniya,A night rain that benefits the world,Metaphor,Reflective,Poetry / Culture
Adon da tayi na daban,Her adornment is unique,Statement,Admiring,Appearance
Awarwaron ta ma na daban,Even her bracelet is unique,Statement,Admiring,Appearance / Mannerism
Mamanta ce ta daban,Her mother is special,Statement,Admiring,Family
Duk hassadar mahassadi dole ya barmu mu ci gaba,All envy must leave us to move forward,Statement,Determined,Social / Moral
Ranar kamu za mu hadu,We shall meet on the wedding reception date,Statement,Hopeful,Spiritual / Life
Lallabawa za ka yi ka ji dan kirki,"You will persuade gently, you hear a good person",Advice,Calm,Behavior / Ethics
Gimbiyar mata ce,She is a queen among women,Praise,Admiring,Praise / Social
Ki tako da kasaita,Walk with elegance,Command,Encouraging,Behavior / Ceremony
Na fade ta kun santa,"I told you, you already know her",Statement,Assured,Social
Mayafinta ya yi kyau,Her veil is beautiful,Statement,Admiring,Appearance / Fashion
Dole a barki kin ci zaren,You must be allowed to enjoy the spotlight,Statement,Supportive,Social / Praise
Abban amarya ya yi kyau sosai,The bride’s father looks very good,Statement,Admiring,Marriage / Family
Maman amarya tayi daban,The bride’s mother is exceptional,Statement,Admiring,Marriage / Family
Allah ya kara girma ga rayuwa,May Allah add growth and longevity to life,Prayer,Blessing,Religion
Tafkin zuma kina da adon zaki,"You are a honey pond, full of sweet adornment",Metaphorical praise,Poetic,Praise / Poetry
Alkhairi shine kudirinki,Goodness is your determination,Statement,Positive,Character / Values
"Yan baiwa ne, Allahumma barik","They are blessings, O Allah bless them",Statement,Grateful,Religion / Family
"Kawarta ce, amma ta zama kamar yar uwarta",She is her friend but has become like a sister,Statement,Warm,Social / Relationship
Na ganka a can koli,I saw you up there at the top,Statement,Observational,Social
"Kin tattara komai, kuma kin yi komai",You organized everything and did everything,Statement,Appreciative,Event / Social
Bikinnan namu ne,This wedding is ours,Statement,Proud,Marriage / Social
Danki fa ya girma,Your son has grown up,Statement,Proud,Family
Namijin fama ne shi din fa,He is a strong and resilient man,Statement,Admiring,Character
"Ku rike dan nan, domin na gari ne shi","Hold on to this boy, he is a good one",Advice,Encouraging,Family / Social
Na tashi da ke a cikin zuciyata,I woke up with you in my heart,Statement,Romantic,Emotion / Love
Ke ce zan yi wa baitikana a yau,You are the one I will dedicate my verses to today,Statement,Poetic,Poetry / Romance
Fara ce ke mai farar aniya,You are pure with a clean intention,Metaphorical praise,Sincere,Character / Morality
Allah ne kadai ya san manufa ta a kanki,Only Allah knows my intention towards you,Statement,Sincere,Religion / Emotion
Yanayin da nike ji shi ne ya sanya ban iya mantawa,The feeling I have is why I cannot forget,Statement,Emotional,Emotion / Memory
Hasken futula ce ke mai haske duhun dare na,You are a lantern light that brightens my dark night,Metaphorical praise,Romantic,Poetry / Love
"Na rayu da ke, rayuwar da ba zai yiwu na manta da ita ba","I lived with you, a life I can never forget",Statement,Nostalgic,Memory / Relationship
Cikin natsuwa muka shaku da ita,We bonded with her calmly,Statement,Calm,Social / Relationship
Ra'ayinki yazo daya da ra'ayi na,Your opinion aligns with mine,Statement,Agreeable,Opinion / Relationship
Tsarikanka akai ba zanyi tantama ba,"I have no doubt, in your strategies on it.",Statement,Confident,Character / Values
Tana koyi da dan Amina (Manzon Allah SAW),She follows the example of the son of Amina (Prophet Muhammad),Statement,Reverent,Religion / Morality
Samunki cikin dubun mutane ban tabbatar ba,Finding someone like you among thousands is uncertain,Statement,Admiring,Praise / Emotion
Akwai natsuwa ga yarinyar nan,There is calmness in this girl,Statement,Positive,Character
A dole na sunkuyar da kaina,I had no choice but to humble myself,Statement,Humble,Emotion / Reflection
"Kyawunki, halittarki, da muryarki dasu nike cire duk bakin cikina","Your beauty, nature, and voice remove all my sadness",Statement,Romantic,Love / Emotion
Ina alfahari idan na tuna kina tare dani,I feel proud whenever I remember you were with me,Statement,Proud,Emotion / Relationship
Diya mai dubun alkhairi da zuciyarta babu cuta,A daughter full of goodness with a pure heart,Statement,Praising,Character / Family
Kina da aji fa a cikin mata,You have class among women,Statement,Admiring,Praise / Social
Nifa ba zan taba mantawa da abunda kayi mani ba na alkhairi,I will never forget the good you did for me,Statement,Grateful,Gratitude / Memory
Ban zaton zanyi kuka akan abun ba,I didn’t think I would cry over it,Statement,Emotional,Emotion
Ashe ban dace da ita ba,So I wasn’t suitable for her after all,Statement,Regretful,Relationship
"Tunda ban dafe ba, abun ya kubuce mani","Since I didn’t hold on, I lost it",Statement,Reflective,Life / Regret
Ni ne zan share maka hawaye duk ranar da suka zuba,I will wipe your tears every day they fall,Statement,Comforting,Support / Love
Wa zaya taya ni yin wannan sarautar,Who will help me carry this responsibility,Statement,Concerned,Responsibility / Leadership
Kinyi daban a mutane,You stand out among people,Statement,Admiring,Praise
Samune naga zaya wuce ni,It’s gaining that want to surpass me,Statement,Reflective,Self-assessment
Ko babu kwalliya a fuskarki kina da kyan gani,"Even without makeup, you are beautiful",Statement,Complimentary,Beauty / Praise
Na kan yaba mata idan tayi abun bajinta,I usually praise her when she does something impressive,Statement,Encouraging,Social / Motivation
Wanda yayi sa'a a samunki bai kamata yayi cuta ba,Whoever is lucky to have you should not hurt you,Statement,Protective,Relationship / Morality
Sanadin sonki bani ganin laifukanki,"Because of my love for you, I don’t see your faults",Statement,Affectionate,Love / Emotion
Kore laifukanki nake idan na tuno matsayinki a zuciyata,I dismiss your faults whenever I remember your place in my heart,Statement,Romantic,Love / Emotion
Akasi aka samu muka rabu da ita,"Unexpectedly, we ended up separating",Statement,Sad,Relationship
Na barshi a raina ba zan taba furtawa ba,I kept it in my heart and will never say it,Statement,Reserved,Emotion / Reflection
Kamanninmu sunzo daya saboda soyayya,We became alike because of love,Statement,Romantic,Love / Relationship
Da can fa baya burgeni,"At first, he didn’t impress me",Statement,Neutral,Opinion
Ba zato ba tsammani muka gansu cikin gidanmu,"Unexpectedly, we found them inside our house",Statement,Surprised,Social / Event
Tausayi ya kama ni,I was filled with pity,Statement,Emotional,Emotion
Dubun Alkhairi ne a cikin zuciyarta,There is abundant goodness in her heart,Statement,Praising,Character / Morality
Sa'a da rabo ne daga Allah suka mallaka mani wannan abun,It is luck and destiny from Allah that granted me this,Statement,Grateful,Religion / Fate
Dan mazari taka mazari,"A dancer, dance well",Statement,Critical,Social Behavior
Danmazari juya mazari,"A dancer, turn and dance",Statement,Critical,Social Behavior
Ayyeh zamu dandali,Hey! We’re going to the public square,Statement,Excited,Social / Event
Mata ku rausaya,"Women, lower yourselves and you should dance",Command,Advisory,Morality / Social
"Ya kamata kuyi, lokacinkune","You should do it, this is your time",Statement,Encouraging,Motivation / Social
"Danmaliyo nawa, kaje ina ne?","My playful one, where did you go?",Question,Affectionate,Social / Relationship
Sonshi a raina ya kamani,His love has captured my heart,Statement,Romantic,Love / Emotion
Kwalliyarsa tana burgeni,His adornment impresses me,Statement,Admiring,Appearance / Beauty
Ya sa makulli ya kulleni,He locked me in / He trapped me,Statement,Metaphorical,Emotion / Relationship
Wata rana zakisha tukunya a gadon baya,One day you’ll suffer consequences,Warning,Critical,Social / Consequence
Taki gida tana ta kwalama,She stepped out of the house with greedness,Narration,Neutral,Daily Life
Allah na gani ba zan bar tsire ba,"God is my witness, I won’t left grilled spiced meat",Statement,Determined,Religion / Resolve
"Mata ku rausaya, lokacin kune","Women be modest and dance, this is your time",Command,Advisory,Morality / Social
Yasha ya bawa malan,He drank and gave the cleric,Statement,Neutral,Social / Religion
Yan aji suna jinka,Your class mates are hearing you,Statement,Serious,Social Hierarchy
Kayi man uzuri ba zan sake ba,"Forgive me, I won’t repeat it",Request / Apology,Apologetic,Social Interaction
Ki taho ki tarbe ni a filin jirgin,Come and receive me at the airport,Command / Request,Warm,Travel / Social
Shifa baya ja da baya,He doesn’t retreat / He’s persistent,Statement,Assertive,Character / Trait
A gidanka zaka bani masauki,You will host me in your house,Statement,Expectant,Social / Hospitality
Kana da abun mamaki,You are surprising,Statement,Neutral,Personal Trait
"kece linzami na, duk inda kikaje zan biki","You are my compass, wherever you go I’ll follow",Statement,Romantic,Love / Devotion
Adana soyayya ta ka rike ta da karfi,Protect my love and hold it firmly,Advice / Counsel,Encouraging,Love / Relationship
Soyayya na haddasa yaki fa,Love can cause conflict,Statement,Reflective,Love / Conflict
Kizo mu sasanta,Come let us reconcile,Request / Invitation,Pleading,Relationship
"Na daina halayena, na shiryu","I’ve stopped my bad ways, I’ve reformed",Confession / Assurance,Sincere,Personal Change
Ba zamu shirya ba,We will not reconcile,Statement,Definitive,Relationship
Domin ki na shiryu,"Because of you, I have changed",Statement,Reasoned,Relationship
ko babu kai a jiki na na san da zan rayu,"Even without you, I know I will survive",Statement,Resolute,Independence / Emotion
kin mata alkawarin da mukayi tare dake,You forgot the promise we made together,Accusation,Hurt,Relationship
Ka daina tadamun maganar nan domin ka riga kayi sake,"Stop bringing this up, you’ve already lost",Command,Firm,Marriage / Conflict
Zo mu daidaita mu daina sa'insa,Come let us settle and stop hostility,Request,Peaceful,Conflict Resolution
"babu ni babu kai, saboda ba zamu shirya ba","There’s no you and me, we won’t reconcile",Statement,Final,Relationship
Nayi nisa da kai,I’ve distanced myself from you,Statement,Cold,Relationship
Bacci yaso ya kaurace man fa,Sleep almost left me,Statement,Distressed,Emotion / Health
Ki jani kusa dake don Allah,"Draw me close to you, please",Request,Begging,Love / Emotion
Ya kamata mu kore duk wata gaba a tsakaninmu,We should remove all hostility between us,Advice,Calm,Peace / Relationship
Shine yake debe man kewa,He is the one easing my loneliness,Statement,Emotional,Emotion / Support
Ina zanje in baki tare dani?,Where will I go without you by my side?,Rhetorical Question,Sad,Love / Dependency
Gurbinki wa zata maye man?,Who can replace you for me?,Rhetorical Question,Longing,Love / Loss
Ya zan na tantance wa zaya damu dani?,How will I know who truly cares about me?,Question,Confused,Emotion / Trust
Hotonki shine abincina,Your photo is my sustenance,Statement,Affectionate,Love / Emotion
Ki yafe kura-kuraina,Forgive my mistakes,Request,Remorseful,Relationship
Ka rusa soyayyar da zuciya ke ma,You destroyed the love the heart had,Accusation,Hurt,Love / Betrayal
Ba zai iya aikata komai ba,He cannot do anything,Statement,Dismissive,Assessment
Na daina kaunarka,I have stopped loving you,Statement,Firm,Relationship
Babu wata alfarmar da zan iya yi maka,There is no favor I can do for you,Statement,Cold,Relationship
"Ka nade tabarmar kunya ka je, Allah ya yafe maka","Pack your mat of shame and go, may God forgive you",Command,Rebuking,Morality / Conflict
"Mayaudari babu ni babu shi, tuntuni mun raba hanya dashi",That deceiver and I are done; we parted long ago,Statement,Resolved,Betrayal / Closure
"Ko da tsautsayi ya gifta ni, ba ni so in yi gamo da shi","Even by accident, I don’t want to meet him",Statement,Avoidant,Emotion / Safety
"Ka so ni ka so kanwa ta, ka bar batun soyayya ta",You loved me and my sister; leave the talk of my love,Accusation,Angry,Love / Betrayal
"Ni da kai mun yanke alaka, ba za mu sake ba",You and I have cut ties; never again,Statement,Final,Relationship
Gaskiya ce take sa mutum ya yi kima,Truth is what gives a person value,Statement,Reflective,Morality
Raina ba zai lamunta ba,My heart will not accept it,Statement,Defiant,Emotion
"Na dau amana na baka domin na yarda ba za ka cutar da zuciyata ba, amma sai ka yaudareni","I entrusted you because I believed you wouldn’t hurt me, but you deceived me",Confession,Hurt,Betrayal / Trust
"Ba wata kalma da za ta kwace ka, ka ce eh",No word can save you; just admit it,Command,Firm,Conflict
Ni da kai mun yanke alaka ba za mu kara ba,You and I have ended things; we won’t continue,Statement,Final,Relationship
Karya na sanya wa ka rasa dama,Lies made you lose your chance,Statement,Accusatory,Morality / Consequence
Kar ka soma matsowa inda nike,Do not start coming close to where I am,Warning,Firm,Conflict / Boundaries
Ka rasa mu,You have lost us,Statement,Final,Relationship / Separation
Da kwakwalwa a cikin batunmu ba suna ba,"Our matter is about sense, not name or fame",Statement,Assertive,Social / Values
Akwai baiwa a cikin jikin mu ba karya ba,"There is talent within us, not a lie",Statement,Confident,Self-worth / Ability
Masu ganin ya zasu fimu ba mu kai nan ba,"Those who think how will they be better than us, we haven’t reached there",Statement,Defiant,Social Comparison
Ruwan sama ya sakko garinku ba kai kayi ba,Rain fell in your town; you didn’t cause it,Statement,Corrective,Humility / Reality
"Ga suna ga lafiya, abin da ya rage a nema",We have name and health; what remains is to strive,Statement,Hopeful,Motivation / Life
"Filin gwagwarmaya ne, kowa zai iya shiga",It’s an open field of struggle; anyone can enter,Statement,Motivational,Competition / Life
Mai kushe kan hakan ga bai dai-dai ba,Anyone who criticizes this is not right,Statement,Critical,Social Judgment
Wanzami ne babanta fa,Her father is a barber,Statement,Neutral,Background / Identity
Kwace su keyi fa,They are forcefully taking it,Statement,Alarmed,Conflict / Action
"Mai nema ne fa shi, kuma yana tare da samu","He is someone who strives, and he is with success",Statement,Praising,Effort / Success
"Jariri yana inya-inya, sai kuka yake yi",The baby squirms and keeps crying,Narration,Sympathetic,Daily Life / Family
Shanu fa suna kara,The cows are in the Cattle pen,Statement,Neutral,Agriculture / Livelihood
Da ciyawa ake ciyarda shanu da awakin su,Cattle and goats are fed with grass,Statement,Neutral,Agriculture / Livelihood
Tarayya akwai ta gaske ba wai-wai ba,"There is genuine unity, not pretence",Statement,Assertive,Social Values
Akwai amsar da nake son in bashi,There is a response I want to give him,Statement,Deliberate,Communication
"Gan-gan ce tarayyar su, an gina ta ba akan dai-dai ba","Their unity is not genuine, built on false grounds",Criticism,Serious,Social / Politics
Tarayyar wata ka tuna ta kau sai kuka,"Some alliances, once remembered, only bring tears",Statement,Sad,Social / Relationships
"Ashe makiyi kullum yana jiran yar dama baka iya mishi, hankoranka yake yana kafa maka danba","It turns out the enemy always waits for your weakness, watching you closely",Statement,Warning,Conflict / Awareness
"Ba haushi kuma ni nake ba, ba kara ba","I am not barking, nor shouting",Statement,Calm,Emotional Control
"Ba cika baki kuma nake ba, ba kuri ba","I am not boasting, nor exaggerating",Statement,Humble,Self-expression
"Ba kankamba ce nake ba, ba wargi ba",I am not being arrogant or careless,Statement,Defensive,Character / Ethics
"Amma lura nake yi kullum, wasu idan suna samanka harararka kawai suke suna ma aruwa",But I observe daily that some people above you only stare at you with jealousy,Observation,Concerned,Social Behaviour
Su burinsu su ganka koda yaushe fama,Their wish is to always see you struggling,Statement,Negative,Social Conflict
